"modifier","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,
"discriminatory","50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,,"50",,,,,,,,
"threshold","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,
"share_boost","0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,,"0.08",,,,,,,,
"share_decline","0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,,"0.1",,,,,,,,
"groom_give","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,
"donations","13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,,"13",,,,,,,,
"amount","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,
"strats","4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,,"4",,,,,,,,
"[steps]","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999","72999"

